"Stock","Year","Length","CatchNo"
"Ille_coi_AD",1998,185,0.71
"Ille_coi_AD",1998,190,0.51
"Ille_coi_AD",1998,195,0.98
"Ille_coi_AD",1999,15,0.43
"Ille_coi_AD",1999,20,3.57
"Ille_coi_AD",1999,25,5.04
"Ille_coi_AD",1999,30,4.42
"Ille_coi_AD",1999,35,8.2
"Ille_coi_AD",1999,40,7.25
"Ille_coi_AD",1999,45,20.65
"Ille_coi_AD",1999,50,35.85
"Ille_coi_AD",1999,55,45.08
"Ille_coi_AD",1999,60,68.88
"Ille_coi_AD",1999,65,63.45
"Ille_coi_AD",1999,70,70.06
"Ille_coi_AD",1999,75,64.86
"Ille_coi_AD",1999,80,65.9
"Ille_coi_AD",1999,85,48.71
"Ille_coi_AD",1999,90,51.4
"Ille_coi_AD",1999,95,32.38
"Ille_coi_AD",1999,100,45.05
"Ille_coi_AD",1999,105,36.44
"Ille_coi_AD",1999,110,43.05
"Ille_coi_AD",1999,115,39.83
"Ille_coi_AD",1999,120,42.94
"Ille_coi_AD",1999,125,32.86
"Ille_coi_AD",1999,130,22.54
"Ille_coi_AD",1999,135,17.46
"Ille_coi_AD",1999,140,13.71
"Ille_coi_AD",1999,145,14.7
"Ille_coi_AD",1999,150,9.9
"Ille_coi_AD",1999,155,3.86
"Ille_coi_AD",1999,160,1.49
"Ille_coi_AD",1999,165,1.57
"Ille_coi_AD",1999,170,1.58
"Ille_coi_AD",1999,175,0.71
"Ille_coi_AD",1999,180,0.36
"Ille_coi_AD",1999,185,0.76
"Ille_coi_AD",1999,190,0.16
"Ille_coi_AD",1999,205,0.13
"Ille_coi_AD",2000,30,0.69
"Ille_coi_AD",2000,35,4.8
"Ille_coi_AD",2000,40,17.08
"Ille_coi_AD",2000,45,32.86
"Ille_coi_AD",2000,50,43.28
"Ille_coi_AD",2000,55,33.04
"Ille_coi_AD",2000,60,34.45
"Ille_coi_AD",2000,65,29.67
"Ille_coi_AD",2000,70,30.98
"Ille_coi_AD",2000,75,22.26
"Ille_coi_AD",2000,80,37.71
"Ille_coi_AD",2000,85,24.97
"Ille_coi_AD",2000,90,20.45
"Ille_coi_AD",2000,95,11.98
"Ille_coi_AD",2000,100,13.35
"Ille_coi_AD",2000,105,5.63
"Ille_coi_AD",2000,110,1.74
"Ille_coi_AD",2000,115,1.92
"Ille_coi_AD",2000,120,1.74
"Ille_coi_AD",2000,125,1.94
"Ille_coi_AD",2000,130,1.98
"Ille_coi_AD",2000,135,1.44
"Ille_coi_AD",2000,140,3.09
"Ille_coi_AD",2000,145,2.66
"Ille_coi_AD",2000,150,2.13
"Ille_coi_AD",2000,155,1.37
"Ille_coi_AD",2000,160,2.73
"Ille_coi_AD",2000,165,1.81
"Ille_coi_AD",2000,170,2.52
"Ille_coi_AD",2000,175,2.37
"Ille_coi_AD",2000,180,1.5
"Ille_coi_AD",2000,185,2.06
"Ille_coi_AD",2000,190,1.71
"Ille_coi_AD",2000,195,0.66
"Ille_coi_AD",2000,200,0.68
"Ille_coi_AD",2000,210,0.23
"Ille_coi_AD",2001,30,2.44
"Ille_coi_AD",2001,35,9.1
"Ille_coi_AD",2001,40,20.69
"Ille_coi_AD",2001,45,29.22
"Ille_coi_AD",2001,50,31.5
"Ille_coi_AD",2001,55,37.61
"Ille_coi_AD",2001,60,35.28
"Ille_coi_AD",2001,65,28.54
"Ille_coi_AD",2001,70,22.7
"Ille_coi_AD",2001,75,19
"Ille_coi_AD",2001,80,22.98
"Ille_coi_AD",2001,85,14.08
"Ille_coi_AD",2001,90,13.37
"Ille_coi_AD",2001,95,11.24
"Ille_coi_AD",2001,100,6.33
"Ille_coi_AD",2001,105,6.1
"Ille_coi_AD",2001,110,9.75
"Ille_coi_AD",2001,115,7.81
"Ille_coi_AD",2001,120,12.56
"Ille_coi_AD",2001,125,10.64
"Ille_coi_AD",2001,130,9.05
"Ille_coi_AD",2001,135,7.43
"Ille_coi_AD",2001,140,5.48
"Ille_coi_AD",2001,145,7.56
"Ille_coi_AD",2001,150,4.3
"Ille_coi_AD",2001,155,5.06
"Ille_coi_AD",2001,160,6.15
"Ille_coi_AD",2001,165,3.18
"Ille_coi_AD",2001,170,3.79
"Ille_coi_AD",2001,175,2.63
"Ille_coi_AD",2001,180,2.3
"Ille_coi_AD",2001,185,0.33
"Ille_coi_AD",2001,190,0.64
"Ille_coi_AD",2001,195,0.66
"Ille_coi_AD",2001,200,0.33
"Ille_coi_AD",2001,230,0.26
"Ille_coi_AD",2002,20,1.15
"Ille_coi_AD",2002,25,2.42
"Ille_coi_AD",2002,30,5.31
"Ille_coi_AD",2002,35,13.32
"Ille_coi_AD",2002,40,32.94
"Ille_coi_AD",2002,45,56.87
"Ille_coi_AD",2002,50,75.64
"Ille_coi_AD",2002,55,70.78
"Ille_coi_AD",2002,60,80.72
"Ille_coi_AD",2002,65,64.43
"Ille_coi_AD",2002,70,67.92
"Ille_coi_AD",2002,75,53.24
"Ille_coi_AD",2002,80,76.13
"Ille_coi_AD",2002,85,49.51
"Ille_coi_AD",2002,90,42.15
"Ille_coi_AD",2002,95,29.57
"Ille_coi_AD",2002,100,31.45
"Ille_coi_AD",2002,105,29.66
"Ille_coi_AD",2002,110,28.33
"Ille_coi_AD",2002,115,22.69
"Ille_coi_AD",2002,120,20.03
"Ille_coi_AD",2002,125,11.38
"Ille_coi_AD",2002,130,9.17
"Ille_coi_AD",2002,135,10.33
"Ille_coi_AD",2002,140,8.82
"Ille_coi_AD",2002,145,7.66
"Ille_coi_AD",2002,150,4.4
"Ille_coi_AD",2002,155,2.72
"Ille_coi_AD",2002,160,1.28
"Ille_coi_AD",2002,165,1.71
"Ille_coi_AD",2002,170,1.71
"Ille_coi_AD",2002,175,0.68
"Ille_coi_AD",2002,180,1.39
"Ille_coi_AD",2002,185,1.48
"Ille_coi_AD",2002,190,1.25
"Ille_coi_AD",2002,195,0.92
"Ille_coi_AD",2002,200,0.48
"Ille_coi_AD",2002,205,0.15
"Ille_coi_AD",2003,20,0.64
"Ille_coi_AD",2003,25,0.32
"Ille_coi_AD",2003,30,0.74
"Ille_coi_AD",2003,35,1.89
"Ille_coi_AD",2003,40,3.29
"Ille_coi_AD",2003,45,6.97
"Ille_coi_AD",2003,50,10.63
"Ille_coi_AD",2003,55,10.55
"Ille_coi_AD",2003,60,16.82
"Ille_coi_AD",2003,65,12.35
"Ille_coi_AD",2003,70,14.8
"Ille_coi_AD",2003,75,12.42
"Ille_coi_AD",2003,80,10.63
"Ille_coi_AD",2003,85,6.39
"Ille_coi_AD",2003,90,3.87
"Ille_coi_AD",2003,95,1.59
"Ille_coi_AD",2003,100,1.9
"Ille_coi_AD",2003,105,0.53
"Ille_coi_AD",2003,110,0.85
"Ille_coi_AD",2003,115,1.29
"Ille_coi_AD",2003,120,1.43
"Ille_coi_AD",2003,125,0.83
"Ille_coi_AD",2003,130,2.3
"Ille_coi_AD",2003,135,2.88
"Ille_coi_AD",2003,140,3.57
"Ille_coi_AD",2003,145,3.43
"Ille_coi_AD",2003,150,1.82
"Ille_coi_AD",2003,155,1.39
"Ille_coi_AD",2003,160,1.96
"Ille_coi_AD",2003,165,2.56
"Ille_coi_AD",2003,170,2.76
"Ille_coi_AD",2003,175,2.13
"Ille_coi_AD",2003,180,2.68
"Ille_coi_AD",2003,185,2.67
"Ille_coi_AD",2003,190,2.05
"Ille_coi_AD",2003,195,1.14
"Ille_coi_AD",2003,200,1.17
"Ille_coi_AD",2003,205,0.77
"Ille_coi_AD",2003,210,1.06
"Ille_coi_AD",2003,215,0.53
"Ille_coi_AD",2003,220,0.45
"Ille_coi_AD",2003,225,0.21
"Ille_coi_AD",2003,230,0.21
"Ille_coi_AD",2003,240,0.11
"Ille_coi_AD",2003,245,0.21
"Ille_coi_AD",2004,20,0.8
"Ille_coi_AD",2004,25,0.64
"Ille_coi_AD",2004,30,1.89
"Ille_coi_AD",2004,35,4.81
"Ille_coi_AD",2004,40,13.68
"Ille_coi_AD",2004,45,20.83
"Ille_coi_AD",2004,50,31.77
"Ille_coi_AD",2004,55,34.27
"Ille_coi_AD",2004,60,44.81
"Ille_coi_AD",2004,65,45.64
"Ille_coi_AD",2004,70,57.31
"Ille_coi_AD",2004,75,58.99
"Ille_coi_AD",2004,80,63.07
"Ille_coi_AD",2004,85,58.51
"Ille_coi_AD",2004,90,76.63
"Ille_coi_AD",2004,95,62.14
"Ille_coi_AD",2004,100,65.1
"Ille_coi_AD",2004,105,47.45
"Ille_coi_AD",2004,110,37.67
"Ille_coi_AD",2004,115,22.68
"Ille_coi_AD",2004,120,15.39
"Ille_coi_AD",2004,125,6.29
"Ille_coi_AD",2004,130,8.64
"Ille_coi_AD",2004,135,3.14
"Ille_coi_AD",2004,140,3.52
"Ille_coi_AD",2004,145,3.06
"Ille_coi_AD",2004,150,2.19
"Ille_coi_AD",2004,155,2.54
"Ille_coi_AD",2004,160,2.18
"Ille_coi_AD",2004,165,1.84
"Ille_coi_AD",2004,170,1.56
"Ille_coi_AD",2004,175,1.25
"Ille_coi_AD",2004,180,2.92
"Ille_coi_AD",2004,185,0.73
"Ille_coi_AD",2004,190,1.57
"Ille_coi_AD",2004,195,0.67
"Ille_coi_AD",2004,200,0.45
"Ille_coi_AD",2004,205,0.13
"Ille_coi_AD",2004,210,0.51
"Ille_coi_AD",2004,215,0.12
"Ille_coi_AD",2005,20,0.71
"Ille_coi_AD",2005,25,0.59
"Ille_coi_AD",2005,30,2.17
"Ille_coi_AD",2005,35,3.64
"Ille_coi_AD",2005,40,6.08
"Ille_coi_AD",2005,45,6.64
"Ille_coi_AD",2005,50,16.9
"Ille_coi_AD",2005,55,12.1
"Ille_coi_AD",2005,60,13.72
"Ille_coi_AD",2005,65,11.16
"Ille_coi_AD",2005,70,10.11
"Ille_coi_AD",2005,75,5.79
"Ille_coi_AD",2005,80,7.28
"Ille_coi_AD",2005,85,4.67
"Ille_coi_AD",2005,90,6.31
"Ille_coi_AD",2005,95,6.8
"Ille_coi_AD",2005,100,4.99
"Ille_coi_AD",2005,105,4.37
"Ille_coi_AD",2005,110,6.74
"Ille_coi_AD",2005,115,3.65
"Ille_coi_AD",2005,120,5.48
"Ille_coi_AD",2005,125,5.86
"Ille_coi_AD",2005,130,8.35
"Ille_coi_AD",2005,135,7.76
"Ille_coi_AD",2005,140,5.91
"Ille_coi_AD",2005,145,3.35
"Ille_coi_AD",2005,150,4.2
"Ille_coi_AD",2005,155,4.06
"Ille_coi_AD",2005,160,3.96
"Ille_coi_AD",2005,165,4.3
"Ille_coi_AD",2005,170,4.82
"Ille_coi_AD",2005,175,3.68
"Ille_coi_AD",2005,180,2.17
"Ille_coi_AD",2005,185,1.1
"Ille_coi_AD",2005,190,1.44
"Ille_coi_AD",2005,195,0.72
"Ille_coi_AD",2005,200,0.63
"Ille_coi_AD",2005,210,0.24
"Ille_coi_AD",2005,245,0.13
"Ille_coi_AD",2006,25,0.14
"Ille_coi_AD",2006,30,0.83
"Ille_coi_AD",2006,35,1.59
"Ille_coi_AD",2006,40,5.27
"Ille_coi_AD",2006,45,7.12
"Ille_coi_AD",2006,50,8.9
"Ille_coi_AD",2006,55,6.89
"Ille_coi_AD",2006,60,6.31
"Ille_coi_AD",2006,65,7.38
"Ille_coi_AD",2006,70,7.58
"Ille_coi_AD",2006,75,5.52
"Ille_coi_AD",2006,80,4.94
"Ille_coi_AD",2006,85,2.18
"Ille_coi_AD",2006,90,2.41
"Ille_coi_AD",2006,95,1.8
"Ille_coi_AD",2006,100,3.09
"Ille_coi_AD",2006,105,2.2
"Ille_coi_AD",2006,110,2.25
"Ille_coi_AD",2006,115,1.17
"Ille_coi_AD",2006,120,2.73
"Ille_coi_AD",2006,125,1.99
"Ille_coi_AD",2006,130,4.4
"Ille_coi_AD",2006,135,4.34
"Ille_coi_AD",2006,140,5.27
"Ille_coi_AD",2006,145,3.03
"Ille_coi_AD",2006,150,4.59
"Ille_coi_AD",2006,155,1.49
"Ille_coi_AD",2006,160,1.78
"Ille_coi_AD",2006,165,1.87
"Ille_coi_AD",2006,170,4.09
"Ille_coi_AD",2006,175,2.36
"Ille_coi_AD",2006,180,2.23
"Ille_coi_AD",2006,185,1.96
"Ille_coi_AD",2006,190,1.95
"Ille_coi_AD",2006,195,0.7
"Ille_coi_AD",2006,200,1.18
"Ille_coi_AD",2006,205,0.97
"Ille_coi_AD",2006,215,0.14
"Ille_coi_AD",2006,250,0.14
"Ille_coi_AD",2006,255,0.08
"Ille_coi_AD",2007,20,1.41
"Ille_coi_AD",2007,25,5.15
"Ille_coi_AD",2007,30,12.58
"Ille_coi_AD",2007,35,12.15
"Ille_coi_AD",2007,40,18.96
"Ille_coi_AD",2007,45,21.91
"Ille_coi_AD",2007,50,32.44
"Ille_coi_AD",2007,55,26.75
"Ille_coi_AD",2007,60,35.86
"Ille_coi_AD",2007,65,28.15
"Ille_coi_AD",2007,70,35.81
"Ille_coi_AD",2007,75,22.86
"Ille_coi_AD",2007,80,24.28
"Ille_coi_AD",2007,85,16.34
"Ille_coi_AD",2007,90,18.76
"Ille_coi_AD",2007,95,11.97
"Ille_coi_AD",2007,100,17.33
"Ille_coi_AD",2007,105,9.15
"Ille_coi_AD",2007,110,11.43
"Ille_coi_AD",2007,115,8.7
"Ille_coi_AD",2007,120,13.6
"Ille_coi_AD",2007,125,7.93
"Ille_coi_AD",2007,130,14.46
"Ille_coi_AD",2007,135,8.78
"Ille_coi_AD",2007,140,11.45
"Ille_coi_AD",2007,145,6.36
"Ille_coi_AD",2007,150,8.07
"Ille_coi_AD",2007,155,4.67
"Ille_coi_AD",2007,160,6.49
"Ille_coi_AD",2007,165,5.88
"Ille_coi_AD",2007,170,7.12
"Ille_coi_AD",2007,175,3.88
"Ille_coi_AD",2007,180,3.19
"Ille_coi_AD",2007,185,1.63
"Ille_coi_AD",2007,190,0.67
"Ille_coi_AD",2007,195,0.41
"Ille_coi_AD",2007,200,0.1
"Ille_coi_AD",2007,205,0.23
"Ille_coi_AD",2007,210,0.1
"Ille_coi_AD",2007,220,0.1
"Ille_coi_AD",2008,20,0.13
"Ille_coi_AD",2008,25,0.23
"Ille_coi_AD",2008,30,1.43
"Ille_coi_AD",2008,35,1.7
"Ille_coi_AD",2008,40,2.46
"Ille_coi_AD",2008,45,5.27
"Ille_coi_AD",2008,50,7.84
"Ille_coi_AD",2008,55,7.89
"Ille_coi_AD",2008,60,11.8
"Ille_coi_AD",2008,65,12.07
"Ille_coi_AD",2008,70,11.8
"Ille_coi_AD",2008,75,9.54
"Ille_coi_AD",2008,80,9.87
"Ille_coi_AD",2008,85,8.28
"Ille_coi_AD",2008,90,7.14
"Ille_coi_AD",2008,95,5.72
"Ille_coi_AD",2008,100,3.86
"Ille_coi_AD",2008,105,4.36
"Ille_coi_AD",2008,110,4.38
"Ille_coi_AD",2008,115,5.99
"Ille_coi_AD",2008,120,12.27
"Ille_coi_AD",2008,125,12.42
"Ille_coi_AD",2008,130,24.55
"Ille_coi_AD",2008,135,23.01
"Ille_coi_AD",2008,140,25.84
"Ille_coi_AD",2008,145,18.14
"Ille_coi_AD",2008,150,18.77
"Ille_coi_AD",2008,155,12.24
"Ille_coi_AD",2008,160,17.23
"Ille_coi_AD",2008,165,13.71
"Ille_coi_AD",2008,170,15.03
"Ille_coi_AD",2008,175,9.9
"Ille_coi_AD",2008,180,10.03
"Ille_coi_AD",2008,185,5.13
"Ille_coi_AD",2008,190,5.23
"Ille_coi_AD",2008,195,3.02
"Ille_coi_AD",2008,200,1.63
"Ille_coi_AD",2008,205,1.35
"Ille_coi_AD",2008,210,0.23
"Ille_coi_AD",2008,215,0.12
"Ille_coi_AD",2008,220,0.12
"Ille_coi_AD",2009,5,0.12
"Ille_coi_AD",2009,25,0.25
"Ille_coi_AD",2009,30,0.25
"Ille_coi_AD",2009,35,0.12
"Ille_coi_AD",2009,40,0.37
"Ille_coi_AD",2009,45,2.46
"Ille_coi_AD",2009,50,3.45
"Ille_coi_AD",2009,55,3.83
"Ille_coi_AD",2009,60,5.63
"Ille_coi_AD",2009,65,6.56
"Ille_coi_AD",2009,70,10.01
"Ille_coi_AD",2009,75,11.64
"Ille_coi_AD",2009,80,15.43
"Ille_coi_AD",2009,85,15.01
"Ille_coi_AD",2009,90,18.91
"Ille_coi_AD",2009,95,15.1
"Ille_coi_AD",2009,100,17.77
"Ille_coi_AD",2009,105,18.36
"Ille_coi_AD",2009,110,22.4
"Ille_coi_AD",2009,115,18.37
"Ille_coi_AD",2009,120,20.78
"Ille_coi_AD",2009,125,13.33
"Ille_coi_AD",2009,130,12.18
"Ille_coi_AD",2009,135,9.31
"Ille_coi_AD",2009,140,7.65
"Ille_coi_AD",2009,145,6.1
"Ille_coi_AD",2009,150,3.39
"Ille_coi_AD",2009,155,3.09
"Ille_coi_AD",2009,160,3.76
"Ille_coi_AD",2009,165,1.85
"Ille_coi_AD",2009,170,2.04
"Ille_coi_AD",2009,175,1.48
"Ille_coi_AD",2009,180,2.54
"Ille_coi_AD",2009,185,0.49
"Ille_coi_AD",2009,190,0.87
"Ille_coi_AD",2009,195,0.86
"Ille_coi_AD",2009,200,0.87
"Ille_coi_AD",2009,205,0.5
"Ille_coi_AD",2010,25,0.41
"Ille_coi_AD",2010,30,0.6
"Ille_coi_AD",2010,35,0.74
"Ille_coi_AD",2010,40,2.24
"Ille_coi_AD",2010,45,4.22
"Ille_coi_AD",2010,50,7.04
"Ille_coi_AD",2010,55,8.06
"Ille_coi_AD",2010,60,13.03
"Ille_coi_AD",2010,65,15.79
"Ille_coi_AD",2010,70,22.47
"Ille_coi_AD",2010,75,18.25
"Ille_coi_AD",2010,80,20.52
"Ille_coi_AD",2010,85,17.11
"Ille_coi_AD",2010,90,16.4
"Ille_coi_AD",2010,95,16.53
"Ille_coi_AD",2010,100,16.92
"Ille_coi_AD",2010,105,14.36
"Ille_coi_AD",2010,110,15.9
"Ille_coi_AD",2010,115,15.11
"Ille_coi_AD",2010,120,20.43
"Ille_coi_AD",2010,125,13.71
"Ille_coi_AD",2010,130,16.63
"Ille_coi_AD",2010,135,10.89
"Ille_coi_AD",2010,140,9.1
"Ille_coi_AD",2010,145,5.26
"Ille_coi_AD",2010,150,10.11
"Ille_coi_AD",2010,155,4.74
"Ille_coi_AD",2010,160,6.1
"Ille_coi_AD",2010,165,4.02
"Ille_coi_AD",2010,170,2.43
"Ille_coi_AD",2010,175,1.28
"Ille_coi_AD",2010,180,2.01
"Ille_coi_AD",2010,185,0.55
"Ille_coi_AD",2010,190,0.66
"Ille_coi_AD",2010,195,0.11
"Ille_coi_AD",2010,200,0.25
"Ille_coi_AD",2011,25,0.11
"Ille_coi_AD",2011,30,0.35
"Ille_coi_AD",2011,35,0.32
"Ille_coi_AD",2011,40,0.66
"Ille_coi_AD",2011,45,1.87
"Ille_coi_AD",2011,50,4.54
"Ille_coi_AD",2011,55,7.87
"Ille_coi_AD",2011,60,12.49
"Ille_coi_AD",2011,65,12.68
"Ille_coi_AD",2011,70,16.44
"Ille_coi_AD",2011,75,12.13
"Ille_coi_AD",2011,80,14.02
"Ille_coi_AD",2011,85,12.17
"Ille_coi_AD",2011,90,14.19
"Ille_coi_AD",2011,95,9.07
"Ille_coi_AD",2011,100,11.84
"Ille_coi_AD",2011,105,10.57
"Ille_coi_AD",2011,110,12.6
"Ille_coi_AD",2011,115,9.82
"Ille_coi_AD",2011,120,14.2
"Ille_coi_AD",2011,125,9.43
"Ille_coi_AD",2011,130,10.38
"Ille_coi_AD",2011,135,7.19
"Ille_coi_AD",2011,140,7.54
"Ille_coi_AD",2011,145,2.97
"Ille_coi_AD",2011,150,5.93
"Ille_coi_AD",2011,155,2.76
"Ille_coi_AD",2011,160,3.85
"Ille_coi_AD",2011,165,2.14
"Ille_coi_AD",2011,170,2.72
"Ille_coi_AD",2011,175,1.21
"Ille_coi_AD",2011,180,1.32
"Ille_coi_AD",2011,185,0.6
"Ille_coi_AD",2011,190,0.42
"Ille_coi_AD",2011,195,0.16
"Ille_coi_AD",2011,200,0.24
"Ille_coi_AD",2011,205,0.08
"Ille_coi_AD",2011,210,0.12
"Ille_coi_AD",2011,215,0.13
"Ille_coi_AD",2012,35,0.13
"Ille_coi_AD",2012,40,1.04
"Ille_coi_AD",2012,45,1.35
"Ille_coi_AD",2012,50,3.62
"Ille_coi_AD",2012,55,4.34
"Ille_coi_AD",2012,60,3.77
"Ille_coi_AD",2012,65,4.18
"Ille_coi_AD",2012,70,4.21
"Ille_coi_AD",2012,75,5.2
"Ille_coi_AD",2012,80,4.2
"Ille_coi_AD",2012,85,5.16
"Ille_coi_AD",2012,90,5.33
"Ille_coi_AD",2012,95,4.68
"Ille_coi_AD",2012,100,5.74
"Ille_coi_AD",2012,105,8.28
"Ille_coi_AD",2012,110,8.85
"Ille_coi_AD",2012,115,8.9
"Ille_coi_AD",2012,120,15.14
"Ille_coi_AD",2012,125,15.96
"Ille_coi_AD",2012,130,18.3
"Ille_coi_AD",2012,135,16.43
"Ille_coi_AD",2012,140,14.41
"Ille_coi_AD",2012,145,8.02
"Ille_coi_AD",2012,150,11.14
"Ille_coi_AD",2012,155,8.16
"Ille_coi_AD",2012,160,10.03
"Ille_coi_AD",2012,165,11.45
"Ille_coi_AD",2012,170,11.43
"Ille_coi_AD",2012,175,6.71
"Ille_coi_AD",2012,180,5.79
"Ille_coi_AD",2012,185,2.21
"Ille_coi_AD",2012,190,2.03
