"File","Species","Stock","StartYear","EndYear","Years.user","Year.select","Gears.user","Lcut.user","Lc.user","Lstart.user","Linf.user","MK.user","mm.user","GausSel","MergeLF","Pile","Lm50","Comment","Source"
"Example_Dat.csv","Parapenaeus longirostris","DPS_GSA22",1996,2015,"NA",2008,"NA","NA","NA","NA","NA","NA",FALSE,FALSE,FALSE,0,"NA","RF: Mostly very good LF patterns! Accepted LBB prior for Linf.prior=40; selected 2008 as year with good fit and reasonable B/B0 compared to adjacent estimates.",
"Example_Dat.csv","Merluccius merluccius","HKE_GSA22",1995,2013,"NA",1999,"NA","NA","NA","NA",73,"NA",FALSE,FALSE,FALSE,0,35,"RF: Set Linf=median=73; excluded 2014 & 2016 because of bad fits; selected 1999 for AMSY because of highest B/B0 with reasonable CV.",
"Example_Dat.csv","Mullus barbatus","MUT_GSA22","NA","NA","1996,1997,1998,1999,2004,2005,2006,2008,2013,2014,2016",2005,"NA",8,"NA","NA",25,"NA",FALSE,FALSE,FALSE,0,"NA","RF: Set Linf~median~25; excluded lengths below 8 cm to get a fit; excluded years with less convincing fits; selected 2005 as good fit with reasonable B/B0 compared with adjacent estimates.",
"Example_Dat.csv","Nephrops norvegicus","NEP_GSA22","NA","NA","1994,1996,1997,1998,1999,2004,2005,2008,2013,2014",2008,"NA","NA","NA","NA",7.2,"NA",FALSE,FALSE,FALSE,0,"NA","RF: set Linf to median=7.2; excluded years with less convincing fits; selected 2008 as year for AMSY with good fit and reasonable B/B0 compared to adjacent estimates.",
"Example_Dat.csv","Sardina pilchardus","PIL_GSA22","NA","NA","1996,2006,2016",2016,"NA","NA","NA","NA",19,"NA",FALSE,FALSE,FALSE,0,"NA","RF: set Linf between max and median; deleted years with bad fits; only 2016 looks reasonable, use for AMSY.",
"Example_Dat.csv","Pagrus pagrus","RPG_GSA22","NA","NA","NA","NA","NA","NA","NA","NA",48,"NA",FALSE,FALSE,FALSE,0,"NA","RF: Lmax= 80 cm with several between 60 and 80, but catch around 10 cm; these are early juveniles not representative of the stock; no assessment possible.",
"Example_Dat.csv","Micromesistius poutassou","WHB_GSA22","NA","NA","1997,1998,2000,2005,2014",2014,"NA",19,"NA","NA",39,"NA",FALSE,FALSE,FALSE,0,"NA","RF: Set Linf prior 39 between max 41.5 and median 36.5; set Lcut to 19 cm to exclude peaks of recruits; excluded years with less convincing fits; 2014 is suitable for AMSY analysis.",
"Example_Dat.csv","Myoxocephalus quadricornis","Myo_quad_Balt",2007,"NA","NA",2016,"NA","NA","NA","NA","NA","NA",FALSE,FALSE,FALSE,0,15,"RF: LFs extracted from DATRAS with Dureuil's code, lumped across 3 years. Fits in 2013, 2016, and 2019 look reasonable.",
"Example_Dat.csv","Myoxocephalus scorpius","Myox_scor_22-24","NA","NA","2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2016,2017,2018",2009,"NA","NA","NA","NA",32,"NA",FALSE,FALSE,TRUE,0,16,"RF: LFs from DATRAS. Set Linf between median and max; set MergeLF TRUE because of scattered data; excluded years leading to errors; selected 2009 because of good fit and reasonable B/B0 compared to adjacent years.",
"Example_Dat.csv","Enchelyopus cimbrius","Ench_cim22-24",1994,"NA","1994,1996,1997,1999,2000,2001,2003,2004,2005,2008,2009,2012,2013,2014,2015,2016,2017",2008,"NA","NA","NA","NA",37,"NA",FALSE,FALSE,TRUE,0,25,"RF: Set Linf=Lmax; set MergeLF TRUE to increase data; excluded years with unreasonable fits; selected 2008 because of reasonable CLs.",
"Example_Dat.csv","Argyrosomus thorpei","STKB1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",FALSE,FALSE,TRUE,0,33,"RF: Only one year with suitable data.",
"Example_Dat.csv","Cymatoceps nasutus","PNSK","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",FALSE,FALSE,TRUE,0,53,"RF: Only one year with suitable data.",
